eventid,date,extended,provstate,city,latitude,longitude,specificity,vicinity,summary,crit1,crit2,crit3,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,motive,guncertain1,nperps,nperpcap,claimed,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,propextent_txt,addnotes,scite1,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197001010002,1970-01-01,0,Illinois,Cairo,37.005105,-89.176269,1.0,0,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States. There were no casualties, however, one bullet narrowly missed several police officers. This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",1,1,1,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Cairo Police Department,Cairo Police Headquarters,United States,Black Nationalists,To protest the Cairo Illinois Police Deparment,0.0,-99,-99,0.0,Firearms,Unknown Gun Type,Several gunshots were fired.,0,0,0,0,0,0,Minor (likely < $1 million),"The Cairo Chief of Police, William Petersen, resigned as a result of the attack.","""Police Chief Quits,"" Washington Post, January 2, 1970.",Hewitt Project,-9,-9,0,-9,None
197001020002,1970-01-02,0,California,Oakland,37.791927,-122.225906,1.0,0,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States. Three transformers were damaged costing an estimated $20,000 to $25,000. There were no casualties.",1,1,1,1,0,Bombing/Explosion,Utilities,Electricity,Pacific Gas & Electric Company,Edes Substation,United States,Unknown,Unspecified,0.0,-99,-99,0.0,Explosives,Unknown Explosive Type,None,0,0,0,0,0,0,Minor (likely < $1 million),"Damages were estimated to be between $20,000-$25,000.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001020003,1970-01-02,0,Wisconsin,Madison,43.076592,-89.412488,1.0,0,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States. There were no casualties but the fire caused around $60,000 in damages to the building.",1,1,1,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C. offices at University of Wisconsin, Madison",United States,New Year's Gang,To protest the War in Vietnam and the draft,0.0,1,1,1.0,Incendiary,Molotov Cocktail/Petrol Bomb,Firebomb consisting of gasoline,0,0,0,0,0,0,Minor (likely < $1 million),"The New Years Gang issue a communiqué to a local paper claiming that they perpetrated this attack.  The New Years Gang  previously attempted to firebomb the R.O.T.C. building a week earlier.  As a result of the attack, police increased their presence in Madison.  Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Old Red Gym.  The next day Armstrong would attempt to set a fire in the Selective Service offices in Madison. (197001030001)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970.  (197008240001)","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.",Hewitt Project,0,0,0,0,None
197001030001,1970-01-03,0,Wisconsin,Madison,43.07295,-89.386694,1.0,0,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building. Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab. The fire caused slight damages and was extinguished almost immediately.",1,1,1,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Selective Service,Selective Service Headquarters in Madison Wisconsin,United States,New Year's Gang,To protest the War in Vietnam and the draft,0.0,1,1,0.0,Incendiary,Gasoline or Alcohol,Poured gasoline on the floor and lit it with a match,0,0,0,0,0,0,Minor (likely < $1 million),"Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Primate Lab.  A day earlier Armstrong would firebomb the R.O.T.C. offices at the University of Wisconsin. (197001020003)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970. (197008240001)","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,0,0,0,0,None
197001050001,1970-01-01,0,Wisconsin,Baraboo,43.4685,-89.744299,1.0,0,None,1,1,0,0,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Unspecified,Badger Army ammo depot.,United States,"Weather Underground, Weathermen",Unspecified,0.0,0,0,Unspecified,Explosives,Unknown Explosive Type,Explosive,0,0,0,0,0,0,Minor (likely < $1 million),None,Unspecified,PGIS,0,0,0,0,None
197001060001,1970-01-06,0,Colorado,Denver,39.758968,-104.876305,1.0,0,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States. There were no casualties but damages to the station were estimated at $305.",1,1,1,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Army Recruiting Station,"Army Recruiting Station, Denver Colorado",United States,Left-Wing Militants,Protest the draft and Vietnam War,0.0,-99,-99,0.0,Incendiary,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0,0,0,0,0,0,Minor (likely < $1 million),None,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001090001,1970-01-09,0,Michigan,Detroit,42.331685,-83.047924,1.0,0,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States. The facility housed federal employees. The building was damaged but there were no casualties.",1,1,1,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,U.S. Government housing,Packard Properties building of Detroit Michigan,United States,Left-Wing Militants,Unspecified,0.0,-99,-99,0.0,Incendiary,Molotov Cocktail/Petrol Bomb,Firebomb,0,0,0,0,0,0,Minor (likely < $1 million),None,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001090002,1970-01-09,0,Puerto Rico,Rio Piedras,18.386932,-66.061127,1.0,0,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico. There were no casualties but the store was destroyed at a cost of $2,000,000.",1,1,1,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,American owned business in Puerto Rico,Baker's Store,United States,Armed Commandos of Liberation,To protest United States owned businesses in Puerto Rico,1.0,-99,-99,1.0,Incendiary,Arson/Fire,Fire set in back of store,0,0,0,0,0,0,Major (likely >= $1 million but < $1 billion),The fire began at 8:30 PM. The Armed Commandos of Liberation claimed the incident but authorities did not discover any evidence proving that the fire was set intentionally.,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,0,0,0,0,None
197001120001,1970-01-12,0,New York,New York City,40.697132,-73.931351,1.0,0,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States. There were no casualties but the explosion caused minor damages. Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",1,1,1,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,High School,James Madison High School,United States,Black Nationalists,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,0.0,-99,-99,0.0,Explosives,Pipe Bomb,Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.,0,0,0,0,0,0,Minor (likely < $1 million),"One half hour after the bomb explosion, an anonymous caller warned of a bomb that was going to detonated in the locker room, however this device was never found.  The inscriptions on the wall of the building were ""Panthers 21,"" ""Support Young Lords,"" and ""Americong.""  There was no history of racial violence at James Madison High School.","""Blast Damages Flatbush School,"" New York Times, January 13, 1970.",Hewitt Project,-9,-9,0,-9,None
197001120002,1970-01-12,0,Puerto Rico,Rio Grande,18.379998,-65.830948,1.0,0,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike. There were no casualties and it is unknown if the factory sustained any damages.",1,1,1,1,0,Bombing/Explosion,Business,Multinational Corporation,General Electric,General Electric factory in Rio Grande Puerto Rico,United States,Strikers,Unspecified,0.0,-99,-99,0.0,Explosives,Unknown Explosive Type,Bomb,0,0,0,0,0,0,Unknown,None,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
