eventid,date,extended,city,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,target1,natlty1_txt,gname,guncertain1,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nkillter,nwound,propextent,addnotes,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,number_related
197001120001,1970-01-12,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,James Madison High School,United States,Black Nationalists,0.0,Explosives,Pipe Bomb,Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.,0,0,0,3.0,"One half hour after the bomb explosion, an anonymous caller warned of a bomb that was going to detonated in the locker room, however this device was never found.  The inscriptions on the wall of the building were ""Panthers 21,"" ""Support Young Lords,"" and ""Americong.""  There was no history of racial violence at James Madison High School.",Hewitt Project,-9,-9,0,-9,None,0
197001130001,1970-01-13,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,"Fuson's Department Store, Seattle Washington",United States,Black Nationalists,0.0,Incendiary,Molotov Cocktail/Petrol Bomb,Firebomb,0,0,0,3.0,"The store was a White owned business operating in a predominantly African American neighborhood.  Before the firebombing, the Fuson's received many threats against their store.",Hewitt Project,-9,-9,0,-9,None,0
197001190002,1970-01-19,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,"Liberal Arts and Garrand buildings, Seattle University",United States,Black Nationalists,1.0,Explosives,Unknown Explosive Type,None,0,0,0,3.0,Witnesses observed three African American males running from the scene.,Hewitt Project,-9,-9,0,-9,None,0
197001190003,1970-01-19,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,0,0,Bombing/Explosion,Military,Military Recruiting Station/Academy,Air Force R.O.T.C. at the University of Washington,United States,Student Radicals,0.0,Explosives,Unknown Explosive Type,None,0,0,0,0.0,Judith and Silas Bissell were both members of Students for a Democratic Society.,Hewitt Project,-9,-9,0,-9,None,0
197001250002,1970-01-25,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Armed Assault,Police,Police Security Forces/Officers,New York Police Officers responding to a call in Harlem,United States,Black Nationalists,0.0,Firearms,Unknown Gun Type,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells,0,0,2,3.0,Police do not believe that this attack was related to the shooting of a police officer in Queens hours later (197001260003).,Hewitt Project,-9,-9,0,-9,None,0
197001260003,1970-01-26,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),New York Police Officer on patrol in Forest Hills,United States,Black Nationalists,0.0,Firearms,Unknown Gun Type,None,0,0,0,0.0,Police do not believe that this attack was related to the shooting of two police officers in Manhattan hours earlier (197001250002).,Hewitt Project,-9,-9,0,-9,None,0
197001280002,1970-01-28,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Temple De Hirsch,United States,White supremacists/nationalists,0.0,Explosives,Unknown Explosive Type,None,0,0,0,3.0,None,Hewitt Project,-9,-9,0,-9,None,0
197002020001,1970-02-02,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Mays Department Store in Manhattan,United States,Unknown,0.0,Incendiary,Gasoline or Alcohol,Incendiary device,0,0,0,0.0,None,Hewitt Project,-9,-9,0,-9,None,0
197002030001,1970-02-03,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Alexander's Department Store in the Bronx,United States,Unknown,0.0,Incendiary,Gasoline or Alcohol,"Incendiary device packed in a cigarette box that included batteries, chemicals, and a flash cube that was connected to a wristwatch.",0,0,0,0.0,Part of a multiple attack with 197002030002.  An incendiary device in a cigarette package was also used by MIRA in an attacl against a store in New York City one year after this incident. (197103190002)  Many different terrorist groups targeted in New York Department Stores in early 1970s.  This attack might be linked with 197002020001 as well.,Hewitt Project,-9,-9,0,-9,"197002030001, 197002030002",2
197002030002,1970-02-03,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Alexander's Department Store in Manhattan,United States,Unknown,0.0,Incendiary,Gasoline or Alcohol,Incendiary device,0,0,0,0.0,"Part of a multiple attack with 197002030001.  The incendiary device was thought to be similar to the one in 197002030001, but it was destroyed before authorities could make any conclusions.  An incendiary device in a cigarette package was also used by MIRA in an attack against a store in New York City one year after this incident. (197103190002)  Many different terrorist groups targeted in New York Department Stores in early 1970s.  This attack might be linked with 197002020001.",Hewitt Project,-9,-9,0,-9,"197002030001, 197002030002",2
197002060002,1970-02-06,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,Fred Dore,United States,White supremacists/nationalists,0.0,Explosives,Dynamite/TNT,Dynamite,0,0,0,3.0,"The  general consensus among sources is that the attack was carried out by White Racists.  After the incident Senator Dore moved to another part of town.  This attack has been linked with the bombing of the home of Seattle State Legislator David Sprague (197004190004).  On the same day as this incident, a Jewish synagogue was bombed in Seattle (197002060003).",Hewitt Project,-9,-9,0,-9,None,0
197002060003,1970-02-06,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Unspecified,United States,White supremacists/nationalists,0.0,Explosives,Dynamite/TNT,Dynamite,0,0,0,3.0,This might be linked with 197001280002.  Both were bombings occurred against synagogues in Seattle.  This incident took place on the same day that Washington State Senator Frank Dore's home was bombed (197002060002).,Hewitt Project,-9,-9,0,-9,None,0
197002080001,1970-02-08,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Multinational Corporation,Queens General Electric Service Center,United States,Armed Revolutionary Independence Movement (MIRA),0.0,Explosives,Unknown Explosive Type,None,0,0,0,3.0,"Part of a multiple attack with 197002080002 and 197002090003.  MIRA claimed this attack along with 197002060005, 197002060004, and 197002060006 in the same mimeographed sheet sent to the news media.  This was one of many attacks against General Electric targets throughout the United States in a three day period. (197002070001, 197002070002, and 197002090004)  These incidents are not believed to be related.",Hewitt Project,0,1,0,1,"197002080001, 197002080002, 197002090003",3
197002080002,1970-02-08,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Multinational Corporation,Brooklyn General Electric Service Center,United States,Armed Revolutionary Independence Movement (MIRA),0.0,Explosives,Pipe Bomb,18-inch pipe bomb,0,0,0,3.0,"Part of a multiple attack with 197002080001 and 197002090003. MIRA claimed this attack along with 2197002060005, 197002060004, and 197002060006 in the same mimeographed sheet sent to the news media.  This was one of many attacks against General Electric targets throughout the United States in a three day period. (197002070001, 197002070002, and 197002090004) These incidents are not believed to be related.",Hewitt Project,0,1,0,1,"197002080001, 197002080002, 197002090003",3
